Location,LAT,LON
,10.25,75.25
,10.25,75.75
"Puthenchira, Mukundapuram, Thrissur, Kerala, 680682, India",10.25,76.25
"Kothamangalam, Ernakulam, Kerala, India",10.25,76.75
"Devikulam, Idukki, Kerala, India",10.25,77.25
"Athoor, Dindigul, Tamil Nadu, 624204, India",10.25,77.75
"Old NH 785, Natham, Dindigul, Tamil Nadu, 624400, India",10.25,78.25
"Trichy - Ramanathapuram Road (Old NH210), Tirumayam, Thirumayam taluk, Pudukkottai, Tamil Nadu, 622507, India",10.25,78.75
"Nayakkathivayal, Regunayagipuram, Peravurani, Thanjavur, Tamil Nadu, 614802, India",10.25,79.25
,10.75,75.25
India,10.75,75.75
"Shoranur, Ottappalam, Palakkad, Kerala, 679121, India",10.75,76.25
"Elappully, Palakkad, Kerala, 678622, India",10.75,76.75
"Madathukulam, Tiruppur, Tamil Nadu, India",10.75,77.25
"Kilankundal, Dharapuram, Tiruppur, Tamil Nadu, 638106, India",10.75,77.75
"Ammapatti, Mamarathupatti, Kadavur, Karur, Tamil Nadu, 621301, India",10.75,78.25
"Cholamanagar, Thiruverumbur, Tiruchirappalli, Tamil Nadu, 620007, India",10.75,78.75
"Melakorukkapattu, Raramuthirakkottai, Papanasam, Thanjavur, Tamil Nadu, 614504, India",10.75,79.25
"Kilvelur, Nagapattinam, Tamil Nadu, 611104, India",10.75,79.75
,11.25,75.25
"Nadakkave, Kozhikode, Kerala, 673006, India",11.25,75.75
"Nilambur, Malappuram, Kerala, 679329, India",11.25,76.25
"Athikadavu, Mettupalayam, Coimbatore, Tamil Nadu, India",11.25,76.75
"Sevur, Avanashi, Tiruppur, Tamil Nadu, India",11.25,77.25
"Kulur, Modakkurichi, Erode, Tamil Nadu, 638104, India",11.25,77.75
"Thottiyar Street, Puthukombai, Sendamangalam, Namakkal, Tamil Nadu, 637409, India",11.25,78.25
"Ladapuram, Perambalur, Tamil Nadu, 621101, India",11.25,78.75
"Rajapalayam, Veerakkan, Sendurai, Ariyalur, Tamil Nadu, 621710, India",11.25,79.25
"Sirkali - Thirumullaivasal - Koolaiyar Road, Idaimanal, Sirkali, Mayiladuthurai, Tamil Nadu, 609115, India",11.25,79.75
India,11.75,75.25
"Vadakara, Kozhikode, Kerala, 673515, India",11.75,75.75
"Sulthanbathery, Wayanad, Kerala, India",11.75,76.25
"Kodasoge, Gundlupet taluk, Chamarajanagar, Karnataka, India",11.75,76.75
"Thalavadi, Erode, Tamil Nadu, 638461, India",11.75,77.25
"Mettur, Salem, Tamil Nadu, India",11.75,77.75
"Yercaud, Salem, Tamil Nadu, 636600, India",11.75,78.25
"Sankarapuram, Kallakurichi, Tamil Nadu, India",11.75,78.75
"Ulundurpettai, Kallakurichi, Tamil Nadu, 606107, India",11.75,79.25
"Bodi Chetti Street, Thiruppapuliyur, Cuddalore, Tamil Nadu, 607002, India",11.75,79.75
"Hosdurg, Kasaragod, Kerala, India",12.25,75.25
"Bellumadu, Virajpet taluk, Kodagu, Karnataka, India",12.25,75.75
"Lakshmipura, Hunasuru taluk, Mysuru, Karnataka, India",12.25,76.25
"SH84A, Maradihundi, Hosakote Mole, Mysuru taluk, Mysuru, Karnataka, 571302, India",12.25,76.75
"Hanur taluk, Chamarajanagar, Karnataka, India",12.25,77.25
"Natrampalayam, Anchetty, Krishnagiri, Tamil Nadu, India",12.25,77.75
"Karimangalam, Dharmapuri, Tamil Nadu, India",12.25,78.25
"Chengam, Tiruvannamalai, Tamil Nadu, 606703, India",12.25,78.75
"Gingee, Viluppuram, Tamil Nadu, India",12.25,79.25
"Tindivanam, Viluppuram, Tamil Nadu, 604305, India",12.25,79.75
"Putturu taluk, Dakshina Kannada, Karnataka, 574200, India",12.75,75.25
"Maragatturu, Sakaleshapura taluk, Hassan, Karnataka, 573123, India",12.75,75.75
"Mallenahalli, Hole Narasipura taluk, Hassan, Karnataka, India",12.75,76.25
"Chagatahalli, Mannahalli, Nagamangala taluk, Mandya, Karnataka, 571416, India",12.75,76.75
"Kurubarahalli, Ramanagara taluk, Ramanagara, Karnataka, 562159, India",12.75,77.25
"Mayasandra, Anekal, Bengaluru Urban, Karnataka, 562107, India",12.75,77.75
"Peddaparthikunta, Gudipalli, Chittoor, Andhra Pradesh, 517425, India",12.75,78.25
"Panangattūr, Ambur, Tirupattur, Tamil Nadu, India",12.75,78.75
"Vettiyāhtoluvam, Arani, Tiruvannamalai, Tamil Nadu, 632314, India",12.75,79.25
"Walajabad, Kanchipuram, Tamil Nadu, 631603, India",12.75,79.75
"Kudremukha, Kalasa taluk, Chikkamagaluru, Karnataka, India",13.25,75.25
"Tirugana, Chikkamagaluru taluku, Chikkamagaluru, Karnataka, 577174, India",13.25,75.75
"Guttinakere, Arasikere taluku, Hassan, Karnataka, 573122, India",13.25,76.25
"Sampige Road, Yaladabaagi, Turuvekere taluk, Tumakuru, Karnataka, 572215, India",13.25,76.75
"Madhenahalli, Madenahalli, Nelamangala taluk, Bengaluru Rural, Karnataka, 562111, India",13.25,77.25
"Tammenahalli, Devanahalli taluku, Bengaluru Rural, Karnataka, 562110, India",13.25,77.75
"Biraganahalli, Srinivasapura taluku, Kolar, Karnataka, India",13.25,78.25
"Gundlapalle, Gangavaram, Chittoor, Andhra Pradesh, 517408, India",13.25,78.75
"MDR, Gangadhara Nellore, Reddipalle, Venkatapuram, Gangadhara Nellore, Chittoor, Andhra Pradesh, 517421, India",13.25,79.25
"Mallareddikandriga, Vijayapuram, Chittoor, Andhra Pradesh, 631204, India",13.25,79.75
"Hodla, Tirthahalli taluk, Shimoga, Karnataka, India",13.75,75.25
"Hurulihalli, Tarikere taluku, Chikkamagaluru, Karnataka, India",13.75,75.75
"Bokikere, Hosadurga taluku, Chitradurga, Karnataka, India",13.75,76.25
"Yaradakatte, Hunasekatte, Sira taluk, Tumakuru, Karnataka, 572115, India",13.75,76.75
"Chilanahalli, Shobenahalli, Madhugiri taluk, Tumakuru, Karnataka, India",13.75,77.25
"Gudibanda - Gantavarampali Road, Hampasandra, Gudibande taluk, Chikkaballapura, Karnataka, 561209, India",13.75,77.75
"Subbarayanipalle, Kosevandlapalle, Pedda Thippasamudram, Annamayya, Andhra Pradesh, India",13.75,78.25
"Reoganddhapuram, Kalikiri, Annamayya, Andhra Pradesh, 517235, India",13.75,78.75
"Umbalmeru, Tirupati (Urban), Tirupati, Andhra Pradesh, India",13.75,79.25
"Thangellapalem, Thottambedu, Tirupati, Andhra Pradesh, 517644, India",13.75,79.75
"Sagara taluk, Shimoga, Karnataka, India",14.25,75.25
"Neralagundi, Honnali taluku, Davanagere, Karnataka, 577219, India",14.25,75.75
"Kadleguddu, Chitradurga taluku, Chitradurga, Karnataka, India",14.25,76.25
"Kasturitimmanahalli, Challakere taluku, Chitradurga, Karnataka, India",14.25,76.75
"Bellary Highway, Doddahalli, Pavagada taluk, Tumakuru, Karnataka, India",14.25,77.25
"Kodur- Dharmavaram Road, Kothacheruvu, Sri Sathya Sai, Andhra Pradesh, 515144, India",14.25,77.75
"Madukallapalle, Talupula, Sri Sathya Sai, Andhra Pradesh, 515581, India",14.25,78.25
"NH40, Ramapuram, Annamayya, Andhra Pradesh, India",14.25,78.75
"Gudlavaripalle, Pondalur, Penagalur, Annamayya, Andhra Pradesh, India",14.25,79.25
"Addrupalli, Pokkandala, Sydapuram, Sri Potti Sriramulu Nellore, Andhra Pradesh, India",14.25,79.75
"Tumarikoppa, Hanagal taluk, Haveri, Karnataka, 581101, India",14.75,75.25
"Siddeshvaranagara, Haravi, Huvina Hadagali taluk, Vijayanagara, Karnataka, India",14.75,75.75
"Kalapura, Kotturu taluku, Vijayanagara, Karnataka, 583136, India",14.75,76.25
"Devasthana Raste, Megalahatti, Molakalmuru taluku, Chitradurga, Karnataka, 577535, India",14.75,76.75
"Ramapauram, Uravakonda, Anantapur, Andhra Pradesh, India",14.75,77.25
"Chamaluru, Narpala, Anantapur, Andhra Pradesh, India",14.75,77.75
"Kodikandlapalle, Muddanur, YSR, Andhra Pradesh, India",14.75,78.25
"Krishnapuram, S.Mydukur, YSR, Andhra Pradesh, 516172, India",14.75,78.75
"NH565, Upparapalem, Marripadu, Sri Potti Sriramulu Nellore, Andhra Pradesh, India",14.75,79.25
"MDR, Siddana Konduru, Kaligiri, Sri Potti Sriramulu Nellore, Andhra Pradesh, 524225, India",14.75,79.75
"SH73, Kundagola, Kundagola taluku, Dharwad, Karnataka, India",15.25,75.25
"Mundargi taluku, Gadag, Karnataka, 582113, India",15.25,75.75
"Karkihalli, Koppala taluku, Koppal, Karnataka, India",15.25,76.25
"Bellary taluk, Ballari, Karnataka, India",15.25,76.75
"Timmapuram, Chippagiri, Kurnool, Andhra Pradesh, India",15.25,77.25
"Peapully - Yaganti - Baganapalle Road, Yagnaramapuram, Peapally, Nandyal, Andhra Pradesh, India",15.25,77.75
"Gulam Nabipeta, Banaganapalle, Nandyal, Andhra Pradesh, 518186, India",15.25,78.25
"Giddalur, Prakasam, Andhra Pradesh, India",15.25,78.75
"Jangamurivaripalle, Chandra Sekhara Puram, Prakasam, Andhra Pradesh, 523112, India",15.25,79.25
"Cherukuru, Ponnaluru, Prakasam, Andhra Pradesh, 523109, India",15.25,79.75
"SH30, Chulaki, Savadatti taluku, Belagavi, Karnataka, 591110, India",15.75,75.25
"Kurahatti, Rona taluku, Gadag, Karnataka, 582209, India",15.75,75.75
"Gumageri, Kushtagi taluk, Koppal, Karnataka, 583277, India",15.75,76.25
"Sindhanur, Sindhanuru taluku, Raichur, Karnataka, 584128, India",15.75,76.75
"Pedda Thumbalam, Adoni, Kurnool, Andhra Pradesh, 583134, India",15.75,77.25
"Erranelakanapuram, Guduru, Kurnool, Andhra Pradesh, India",15.75,77.75
"Kadumur, Midthur, Nandyal, Andhra Pradesh, 518405, India",15.75,78.25
"Velgode, Nandyal, Andhra Pradesh, India",15.75,78.75
"Peda Nagulavaram, Markapur, Prakasam, Andhra Pradesh, 523329, India",15.75,79.25
"Darsi - Chimakurthy Road, Potha Kamuru, East Veeraya Palem, Darsi, Prakasam, Andhra Pradesh, 523247, India",15.75,79.75
"Metagudda, Mudhola taluku, Bagalkote, Karnataka, India",16.25,75.25
"Bennura, Bagalakote taluk, Bagalkote, Karnataka, India",16.25,75.75
"Nagarabetta, Muddebihala taluku, Vijayapura, Karnataka, India",16.25,76.25
"Wandali, Devadurga taluk, Raichur, Karnataka, India",16.25,76.75
"Venkatapura, Rayachuru taluku, Raichur, Karnataka, India",16.25,77.25
"Gonpad, Gadwal mandal, Jogulamba Gadwal, Telangana, 509100, India",16.25,77.75
"Nagulapalle Thanda, Kodair mandal, Nagarkurnool, Telangana, 509105, India",16.25,78.25
"Amrabad mandal, Nagarkurnool, Telangana, India",16.25,78.75
"Veldurthi, Palnadu, Andhra Pradesh, 522613, India",16.25,79.25
"Bollapalle, Palnadu, Andhra Pradesh, India",16.25,79.75
"Athani taluku, Karnataka, 591248, India",16.75,75.25
"Hittinahalli, Vijayapura taluk, Vijayapura, Karnataka, India",16.75,75.75
"Handiganura, Sindagi taluku, Vijayapura, Karnataka, 586120, India",16.75,76.25
"Gogipet, Gogi, Shahapura taluku, Yadgir, Karnataka, 585309, India",16.75,76.75
"Gotgi Tanda, Arakera, Yadagiri taluku, Yadgir, Karnataka, India",16.75,77.25
"Koilkonda, Koilkonda mandal, Mahabubnagar, Telangana, 509371, India",16.75,77.75
"Chiluveru, Midjil mandal, Mahabubnagar, Telangana, India",16.75,78.25
"Agraharam Thanda, Charakonda mandal, Nagarkurnool, Telangana, India",16.75,78.75
"Peddavoora mandal, Nalgonda, Telangana, 508202, India",16.75,79.25
"Narlinglagudem, Gundeboyinagudem, Palakeedu mandal, Suryapet, Telangana, India",16.75,79.75
"MDR75, Javale, Sangole, Solapur, Maharashtra, 413309, India",17.25,75.25
"Shiganapura, Baradola, Chadachana taluku, Vijayapura, Karnataka, 586204, India",17.25,75.75
"SH22, Karajagi, Afzalpura taluku, Kalaburagi, Karnataka, India",17.25,76.25
"Panegaon, Kalaburagi taluku, Kalaburagi, Karnataka, India",17.25,76.75
"Mangalagi, Kalagi taluku, Kalaburagi, Karnataka, India",17.25,77.25
"Serigadda Thanda, Ampally, Dharoor mandal, Vikarabad, Telangana, 501101, India",17.25,77.75
"kanakamamidi village road, Chakaliguda, Kanakamamidi, Moinabad mandal, Ranga Reddy, Telangana, India",17.25,78.25
"Raipole, Ismailshapur, Nerrepally, Ibrahimpatnam mandal, Ranga Reddy, Telangana, India",17.25,78.75
"Narketpally mandal, Nalgonda, Telangana, India",17.25,79.25
"Kotapahad, Atmakur (S) mandal, Suryapet, Telangana, India",17.25,79.75
,9.25,75.25
,9.25,75.75
India,9.25,76.25
"Manjinikkara, Kozhenchery, Pathanamthitta, Kerala, 689647, India",9.25,76.75
"Konni, Pathanamthitta, Kerala, India",9.25,77.25
"Naduvapatti, Sankarankoil, Tenkasi, Tamil Nadu, India",9.25,77.75
"Vilathikulam, Thoothukudi, Tamil Nadu, India",9.25,78.25
"Kilakkarai, Ramanathapuram, Tamil Nadu, 623517, India",9.25,78.75
"Thangachimadam, Rameswaram, Ramanathapuram, Tamil Nadu, 623529, India",9.25,79.25
"Kilinochchi District, Northern Province, ශ්‍රී ලංකාව இலங்கை",9.25,79.75
,9.75,75.25
,9.75,75.75
"Andhakaranazhy, Cherthala, Alappuzha, Kerala, 688540, India",9.75,76.25
"Kayyoor, Meenachil, Kottayam, Kerala, 686652, India",9.75,76.75
"Cumbam - Cumbammettu Road, Cumbum, Uthamapalayam, Theni, Tamil Nadu, 685551, India",9.75,77.25
"Saptur, Peraiyur, Madurai, Tamil Nadu, 625705, India",9.75,77.75
"Tiruchuli, Virudhunagar, Tamil Nadu, India",9.75,78.25
"Tiruvadanai, Ramanathapuram, Tamil Nadu, 630554, India",9.75,78.75
India,9.75,79.25
"Jaffna District, Northern Province, ශ්‍රී ලංකාව இலங்கை",9.75,79.75
India,10.25,79.75
